kategori,mevzuat_ad?,tarih,son_degisim_tarihi,son_degisim_yontemi,resmi_link,kaynak_url
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/207705,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/95292,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/71967,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/155741,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/208793,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/203866,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/179898,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/135830,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/143101,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/95896,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/191633,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/199506,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Yönerge,,-,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/200130,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
